entry,exit,period,cap,atr,regime,n,trades_per_year,excess,z,win,unit,per_trade_pct
STRUCTURE,bracket +2/−4 20b,holdout,2B-5B,all,all,424,1574,0.023,0.2,0.604,ATR,0.05
STRUCTURE,bracket +2/−4 20b,holdout,2B-5B,all,bull,368,1366,0.133,1.3,0.617,ATR,0.44
STRUCTURE,bracket +2/−4 20b,holdout,2B-5B,3-5,all,174,646,-0.066,-0.4,0.603,ATR,-0.1
STRUCTURE,bracket +2/−4 20b,holdout,>5B,all,all,808,2999,0.391,5.5,0.675,ATR,1.3
STRUCTURE,bracket +2/−4 20b,holdout,>5B,all,bull,721,2676,0.422,5.7,0.678,ATR,1.42
STRUCTURE,bracket +2/−4 20b,holdout,>5B,<3,all,392,1455,0.507,4.9,0.702,ATR,1.16
STRUCTURE,bracket +2/−4 20b,holdout,>5B,<3,bull,367,1362,0.508,4.8,0.698,ATR,1.19
STRUCTURE,bracket +2/−4 20b,holdout,>5B,3-5,all,287,1065,0.249,2.0,0.638,ATR,0.86
STRUCTURE,bracket +2/−4 20b,holdout,>5B,3-5,bull,240,891,0.292,2.3,0.642,ATR,0.99
STRUCTURE,bracket +3/−4 20b,in-sample,all,all,all,4074,5613,0.483,12.3,0.632,ATR,1.61
STRUCTURE,bracket +3/−4 20b,in-sample,all,all,bull,2310,3183,0.442,9.2,0.659,ATR,1.3
STRUCTURE,bracket +3/−4 20b,in-sample,all,all,bear,1764,2430,0.537,8.2,0.597,ATR,2.02
STRUCTURE,bracket +3/−4 20b,in-sample,all,<3,all,1717,2366,0.579,9.2,0.647,ATR,1.49
STRUCTURE,bracket +3/−4 20b,in-sample,all,<3,bull,1060,1460,0.579,7.8,0.679,ATR,1.45
STRUCTURE,bracket +3/−4 20b,in-sample,all,<3,bear,657,905,0.581,5.2,0.595,ATR,1.57
STRUCTURE,bracket +3/−4 20b,in-sample,all,3-5,all,1504,2072,0.561,8.8,0.652,ATR,2.06
STRUCTURE,bracket +3/−4 20b,in-sample,all,3-5,bull,816,1124,0.433,5.4,0.673,ATR,1.64
STRUCTURE,bracket +3/−4 20b,in-sample,all,3-5,bear,688,948,0.713,7.1,0.628,ATR,2.56
STRUCTURE,bracket +3/−4 20b,in-sample,all,5-8,all,572,788,0.183,1.8,0.577,ATR,1.02
STRUCTURE,bracket +3/−4 20b,in-sample,all,5-8,bull,300,413,0.244,2.1,0.617,ATR,1.44
STRUCTURE,bracket +3/−4 20b,in-sample,all,5-8,bear,272,375,0.117,0.7,0.533,ATR,0.56
STRUCTURE,bracket +3/−4 20b,in-sample,500M-2B,all,all,481,663,0.152,1.3,0.58,ATR,0.61
STRUCTURE,bracket +3/−4 20b,in-sample,500M-2B,all,bull,272,375,0.217,1.6,0.621,ATR,1.11
STRUCTURE,bracket +3/−4 20b,in-sample,500M-2B,all,bear,209,288,0.068,0.3,0.526,ATR,-0.04
STRUCTURE,bracket +3/−4 20b,in-sample,500M-2B,3-5,all,196,270,0.363,2.0,0.643,ATR,1.26
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,all,all,1153,1589,0.307,4.1,0.597,ATR,1.06
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,all,bull,667,919,0.231,2.5,0.612,ATR,0.49
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,all,bear,486,670,0.413,3.3,0.576,ATR,1.84
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,<3,all,334,460,0.322,2.1,0.614,ATR,0.92
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,<3,bull,197,271,0.354,1.9,0.65,ATR,0.94
