tier,f,N,policy,sample,final,cagr,max_dd,taken,signalled,per_week,avg_open,skip_no_slot,skip_held,skip_no_headroom,skip_atr_zero,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
C,0.005,10,quality,full,1747537.576949642,0.33135445831980914,0.5574050610282405,545,4018,1.044919200219118,8.070405727923628,1994,741,738,0,0.06047145477701554,0.9112866892212403,-0.3144560613743973,0.5248618053093272,1.5598379212812867,0.352135854926823,-0.4100412211021096,0.5891039251557664,0.9084399545298627,0.10572647333308649,0.20448930840451673
C,0.005,10,quality,oos,256579.6456311839,0.41572268412049995,0.4319159549671059,183,1605,1.293939393939394,9.06461086637298,1051,242,129,0,,,,,,,,,0.9265121326389572,0.10572595291734044,0.20448930840451696
C,0.005,10,atr,full,1460121.6616871299,0.3076356219429397,0.5324584014660714,548,4018,1.0506710490276636,8.116547334924423,2127,723,620,0,0.06047145477701554,0.8025818391978892,-0.3419059879562938,0.49016859292538406,1.7123338561863393,0.09759495776281035,-0.40091651725273736,0.537841377331252,1.0791771744335628,0.0687163605776282,0.27800817551654644
C,0.005,10,atr,oos,267451.21524322004,0.43756455047712417,0.43143291660123384,183,1605,1.293939393939394,9.140969162995594,1080,243,99,0,,,,,,,,,0.9204202875297915,0.08971933905216578,0.2780081754189059
C,0.005,10,random,full,1824450.454652224,0.33710348441094995,0.5663033029172997,548,4018,1.0506710490276636,8.114956245027845,2048,690,732,0,0.09715825468141692,1.0227446525716903,-0.2625626065032195,0.475320576686894,1.817877752623151,0.382844793210547,-0.4486921701858283,0.5911720815294939,0.7823061887911555,0.10475810806515629,0.12267427543662612
C,0.005,10,random,oos,202037.54153212006,0.2962415094456641,0.4809067667938255,191,1605,1.3505050505050507,9.03230543318649,1025,220,169,0,,,,,,,,,0.7497132691336563,0.06568121961723627,0.08352235880351566
C,0.01,10,quality,full,12999352.846200224,0.6273427106093121,0.7304597017050889,404,4018,0.7745823062174747,6.199284009546539,526,583,2505,0,0.07406800897606658,2.0373921710798597,-0.31575032605486963,0.8661576000436657,6.430243348345036,0.35252574713410234,-0.5521807808297466,0.3400823917231919,3.1591876054983654,-0.014132985648038443,0.26187550601181986
C,0.01,10,quality,oos,283195.1967252059,0.4682239080234907,0.5963964523822263,139,1605,0.9828282828282829,6.908957415565345,208,174,1084,0,,,,,,,,,1.2717276001826172,-0.012099698262461045,0.2618755060118203
C,0.01,10,atr,full,11782602.49047832,0.6114217411306118,0.7712547605837196,419,4018,0.8033415502602027,6.305091487669054,533,591,2475,0,0.067395876230264,2.400242577217225,-0.3276080204581645,0.7285169523290971,6.9837600865158445,0.19923138744726532,-0.5919093470965648,0.5645928866161958,3.6721423949776932,-0.2735842953806831,0.34629389922438336
C,0.01,10,atr,oos,517241.4998122998,0.8336210944773901,0.6675673672583851,146,1605,1.0323232323232323,7.211453744493392,258,210,991,0,,,,,,,,,4.2889353606579705,-0.2735842945147745,0.346293899224384
C,0.01,10,random,full,2784990.4240982346,0.39489568454441604,0.7424541465763188,406,4018,0.7784168720898385,6.020684168655529,366,531,2715,0,0.055402486237225324,1.7284462854685345,-0.20784255367363724,0.09601484658591475,5.773489697648698,0.6313320737137871,-0.5463340644154783,0.174966004596127,2.296317786745624,-0.2620678404956772,-0.22249998514367753
C,0.01,10,random,oos,629822.8087821169,0.9718012898045765,0.564488982634159,130,1605,0.9191919191919192,6.986784140969163,200,210,1065,0,,,,,,,,,3.523086120759822,0.05934371479911715,0.31445775581487956
C,0.005,20,quality,full,7127001.113448795,0.5323811769131717,0.5972203718616158,649,4018,1.2443166255820324,9.904534606205251,165,961,2243,0,0.06047145477701554,0.9112866892212403,-0.32160614078479643,0.571196159464042,4.2305214399671165,0.5838299638087867,-0.41910883114355124,1.0135625538753263,1.8189062410979835,0.07126369842755453,0.12740311482510824
C,0.005,20,quality,oos,335131.83702418057,0.5623299463577807,0.6115165580074957,242,1605,1.7111111111111112,11.756240822320118,80,329,954,0,,,,,,,,,2.220783839212649,-0.08035065966537802,0.1314408250366803
C,0.005,20,atr,full,2869356.8671463504,0.3990664722032504,0.6749913795557602,665,4018,1.2749931525609421,9.848448687350835,149,878,2326,0,0.06047145477701554,0.8025818391978892,-0.3460599239945752,0.6224094205553679,5.02789557689435,0.20182252086639507,-0.4648468922166401,0.8383288255718091,0.9392532187193243,-0.16826087826200753,0.23073122975004967
C,0.005,20,atr,oos,267396.85154868866,0.4374567366087023,0.6091306403861456,249,1605,1.7606060606060607,12.154185022026432,94,350,912,0,,,,,,,,,1.7237554592420512,-0.1929849148635281,0.21648434070342026
C,0.005,20,random,full,5087100.636802454,0.4815528308138559,0.6377055921818685,638,4018,1.2232265132840319,9.669053301511536,113,913,2354,0,0.09715825468141692,1.0227446525716903,-0.26722087543742756,0.1812267019338829,5.501418339886636,0.29534599490759694,-0.4479844320140334,0.8738678257053818,1.5538552271684716,0.04710811070280507,0.13679373439253806
C,0.005,20,random,oos,311670.9929972732,0.5210519421312299,0.5845056283380762,239,1605,1.68989898989899,11.588839941262849,24,329,1013,0,,,,,,,,,2.009496908837455,-0.1137440539368445,0.16853929481861574
G,0.005,10,quality,full,2423672.611431402,0.37563835492978503,0.4036541042459645,568,3545,1.089016707751301,6.087509944311853,1744,588,645,0,0.0,0.7573683267822786,-0.07152212339909247,0.15897723355664173,1.515362109947612,0.334092195718817,-0.1358909163087879,0.4653530265670698,1.0833346217534756,0.12468191273623819,0.2872970051762971
G,0.005,10,quality,oos,272022.3248717299,0.44658093992963344,0.34225864401838957,192,1571,1.3575757575757577,8.475770925110131,1024,236,119,0,,,,,,,,,0.9265121326389572,0.09686717704171133,0.2872970051762975
G,0.005,10,atr,full,1273740.9632214236,0.2898924876857276,0.4052210945513427,578,3545,1.1081895371131196,6.16030230708035,1820,590,557,0,0.0,0.6850050167249102,-0.1484630491294937,0.17353129628876296,1.3853210112719987,0.07478705519601281,-0.15775217833353505,0.36842475648694384,1.188243108392487,-0.02404402360512725,0.19874239907340252
G,0.005,10,atr,oos,228033.14360417658,0.3554376837704545,0.3341634089618766,190,1571,1.3434343434343436,8.51101321585903,1038,237,106,0,,,,,,,,,0.9204202875297915,-0.009451322062741685,0.19874239907340252
G,0.005,10,random,full,1674217.5776103255,0.32565791628523955,0.40504056862284266,559,3545,1.0717611613256641,6.092680986475736,1732,575,679,0,0.0,0.7683534306742239,-0.1059876585514199,0.15994562060135542,1.4530231512053038,0.3526600800812083,-0.1392831062710559,0.44944607847558293,0.43921739118062697,0.2916529796024012,0.18641526224375293
G,0.005,10,random,oos,290433.53526309616,0.48195900984365947,0.2538695992807425,188,1571,1.3292929292929294,8.484581497797357,966,247,170,0,,,,,,,,,0.7123886554381749,0.39104552224902944,0.21927895173249534
G,0.01,10,quality,full,7671153.111262903,0.5437021318478059,0.6074209639383089,428,3545,0.8205970966858395,4.725536992840095,482,462,2173,0,0.0,0.19135507661490814,-0.04984431743956852,0.06212435774524794,4.952331690695863,0.524952261827738,-0.21236254497225016,0.7693392851245551,2.953811423912763,-0.07718299641278847,0.3824101041706689
G,0.01,10,quality,oos,313701.58293627005,0.5247006102583249,0.5644807178571268,146,1571,1.0323232323232323,6.538913362701909,236,180,1009,0,,,,,,,,,1.2717276001826172,-0.001096450820261663,0.38241010417066956
G,0.01,10,atr,full,4395612.27429472,0.46005575545006505,0.6050531360495099,446,3545,0.8551081895371131,4.7959427207637235,578,485,2036,0,0.0,1.2653032247275071,-0.19811623841152326,0.07562623830709292,3.820661038385743,0.4345011385496833,-0.16963984439077084,0.5564021365132599,1.8627980264333814,-0.17706244374925773,0.06848104777081754
G,0.01,10,atr,oos,405056.47084150946,0.6754691198007035,0.6050531360495103,149,1571,1.0535353535353535,6.766519823788546,310,203,909,0,,,,,,,,,4.2889353606579705,-0.2832288907843312,0.06848104777081776
G,0.01,10,random,full,3571536.809707045,0.4300437081543491,0.5412041416806317,428,3545,0.8205970966858395,4.656324582338902,296,473,2348,0,0.0,1.2653032247275071,-0.22105925884287225,0.09657600514122788,4.859643337873652,0.4461126305235108,-0.196533537226396,0.5941824951258574,0.28920014639947467,0.09899793219480246,0.20029864629462213
G,0.01,10,random,oos,261061.96173852085,0.4247974532252585,0.5388665434392793,148,1571,1.0464646464646465,6.459618208516887,134,187,1102,0,,,,,,,,,1.5707328175724733,-0.16245036573166782,0.21248423952059547
G,0.005,20,quality,full,6309073.625885377,0.5138070047342811,0.5448904693424685,648,3545,1.2423993426458504,7.4618138424821,148,771,1978,0,0.0,0.7573683267822786,-0.07152212339909247,0.15897723355664173,2.90494567157212,0.5789308258921979,-0.1442685157743091,0.7145731296098439,1.6729410277452939,0.04086509886986045,0.32556457184706367
G,0.005,20,quality,oos,393839.3199187211,0.6581990344676563,0.5448904693424685,244,1571,1.7252525252525255,11.18208516886931,96,354,877,0,,,,,,,,,2.220783839212649,-0.07752074971986023,0.3255645718470641
G,0.005,20,atr,full,3336930.4064191477,0.4203562972581061,0.531983187112879,673,3545,1.2903314160503971,7.618536197295147,164,752,1956,0,0.0,0.6850050167249102,-0.1484630491294937,0.17353129628876296,3.050133276625954,0.3697137059750202,-0.18508851144459026,0.6235100099804771,1.39342563280153,0.0005114660291281048,0.12756410379618854
