entry,quality,target_atr,stop_atr,max_bars,trades,win,exp_atr,exp_pct_approx,oos_trades,oos_win,oos_exp_atr
next open,all,3.0,2.0,5,3545,0.518,0.169,0.95,1563,0.5,0.135
next open,all,3.0,2.0,10,3545,0.511,0.264,1.49,1563,0.488,0.228
next open,all,3.0,2.0,20,3545,0.479,0.302,1.7,1563,0.468,0.257
next open,all,3.0,3.0,5,3545,0.527,0.169,0.95,1563,0.513,0.147
next open,all,3.0,3.0,10,3545,0.545,0.284,1.59,1563,0.529,0.27
next open,all,3.0,3.0,20,3545,0.554,0.382,2.15,1563,0.559,0.411
next open,all,3.0,4.0,5,3545,0.528,0.164,0.92,1563,0.514,0.137
next open,all,3.0,4.0,10,3545,0.55,0.278,1.56,1563,0.534,0.257
next open,all,3.0,4.0,20,3545,0.573,0.397,2.24,1563,0.576,0.421
next open,all,half@1,1.5,20,3545,0.578,0.182,1.02,1563,0.562,0.137
next open,fresh,0.5,1.0,5,1824,0.643,-0.027,-0.15,839,0.626,-0.055
next open,fresh,0.5,1.0,10,1824,0.651,-0.022,-0.12,839,0.631,-0.053
next open,fresh,0.5,1.0,20,1824,0.653,-0.021,-0.12,839,0.633,-0.051
next open,fresh,0.5,1.5,5,1824,0.719,0.001,0.0,839,0.709,-0.027
next open,fresh,0.5,1.5,10,1824,0.748,0.001,0.0,839,0.734,-0.029
next open,fresh,0.5,1.5,20,1824,0.751,0.002,0.01,839,0.737,-0.027
next open,fresh,0.5,2.0,5,1824,0.747,0.018,0.1,839,0.741,-0.007
next open,fresh,0.5,2.0,10,1824,0.8,0.031,0.18,839,0.794,0.007
next open,fresh,0.5,2.0,20,1824,0.81,0.029,0.16,839,0.802,0.008
next open,fresh,0.5,3.0,5,1824,0.76,0.025,0.14,839,0.758,-0.002
next open,fresh,0.5,3.0,10,1824,0.83,0.045,0.25,839,0.827,0.016
next open,fresh,0.5,3.0,20,1824,0.859,0.04,0.22,839,0.855,0.018
next open,fresh,0.5,4.0,5,1824,0.76,0.019,0.11,839,0.758,-0.016
next open,fresh,0.5,4.0,10,1824,0.832,0.038,0.21,839,0.828,0.002
next open,fresh,0.5,4.0,20,1824,0.871,0.037,0.21,839,0.87,0.023
next open,fresh,1.0,1.0,5,1824,0.514,0.029,0.16,839,0.504,0.008
next open,fresh,1.0,1.0,10,1824,0.515,0.03,0.17,839,0.501,0.004
next open,fresh,1.0,1.0,20,1824,0.516,0.033,0.18,839,0.505,0.01
next open,fresh,1.0,1.5,5,1824,0.584,0.054,0.31,839,0.573,0.02
next open,fresh,1.0,1.5,10,1824,0.612,0.049,0.27,839,0.596,0.011
next open,fresh,1.0,1.5,20,1824,0.618,0.049,0.28,839,0.604,0.013
next open,fresh,1.0,2.0,5,1824,0.609,0.062,0.35,839,0.6,0.021
next open,fresh,1.0,2.0,10,1824,0.667,0.076,0.43,839,0.646,0.015
next open,fresh,1.0,2.0,20,1824,0.688,0.074,0.42,839,0.67,0.017
next open,fresh,1.0,3.0,5,1824,0.621,0.065,0.37,839,0.616,0.021
next open,fresh,1.0,3.0,10,1824,0.701,0.085,0.48,839,0.685,0.021
next open,fresh,1.0,3.0,20,1824,0.753,0.095,0.54,839,0.741,0.032
next open,fresh,1.0,4.0,5,1824,0.622,0.055,0.31,839,0.616,0.002
next open,fresh,1.0,4.0,10,1824,0.703,0.073,0.41,839,0.688,0.002
next open,fresh,1.0,4.0,20,1824,0.77,0.101,0.57,839,0.762,0.056
next open,fresh,1.5,1.0,5,1824,0.458,0.066,0.37,839,0.439,0.02
next open,fresh,1.5,1.0,10,1824,0.437,0.076,0.43,839,0.416,0.028
next open,fresh,1.5,1.0,20,1824,0.434,0.084,0.47,839,0.417,0.039
next open,fresh,1.5,1.5,5,1824,0.529,0.102,0.57,839,0.507,0.045
next open,fresh,1.5,1.5,10,1824,0.536,0.11,0.62,839,0.513,0.046
next open,fresh,1.5,1.5,20,1824,0.541,0.125,0.71,839,0.523,0.068
next open,fresh,1.5,2.0,5,1824,0.55,0.105,0.59,839,0.528,0.035
next open,fresh,1.5,2.0,10,1824,0.59,0.138,0.78,839,0.559,0.042
next open,fresh,1.5,2.0,20,1824,0.61,0.152,0.86,839,0.584,0.056
next open,fresh,1.5,3.0,5,1824,0.561,0.106,0.6,839,0.544,0.031
next open,fresh,1.5,3.0,10,1824,0.624,0.145,0.82,839,0.6,0.045
next open,fresh,1.5,3.0,20,1824,0.684,0.198,1.11,839,0.671,0.114
next open,fresh,1.5,4.0,5,1824,0.562,0.096,0.54,839,0.544,0.011
next open,fresh,1.5,4.0,10,1824,0.627,0.133,0.75,839,0.603,0.024
next open,fresh,1.5,4.0,20,1824,0.701,0.203,1.14,839,0.69,0.139
next open,fresh,2.0,1.0,5,1824,0.434,0.086,0.49,839,0.409,0.017
next open,fresh,2.0,1.0,10,1824,0.39,0.103,0.58,839,0.362,0.031
next open,fresh,2.0,1.0,20,1824,0.377,0.12,0.68,839,0.358,0.053
next open,fresh,2.0,1.5,5,1824,0.504,0.124,0.69,839,0.476,0.043
next open,fresh,2.0,1.5,10,1824,0.488,0.141,0.79,839,0.456,0.043
next open,fresh,2.0,1.5,20,1824,0.48,0.171,0.96,839,0.455,0.076
next open,fresh,2.0,2.0,5,1824,0.524,0.126,0.71,839,0.497,0.036
next open,fresh,2.0,2.0,10,1824,0.543,0.176,0.99,839,0.505,0.057
next open,fresh,2.0,2.0,20,1824,0.547,0.2,1.12,839,0.517,0.076
next open,fresh,2.0,3.0,5,1824,0.536,0.128,0.72,839,0.513,0.034
next open,fresh,2.0,3.0,10,1824,0.578,0.186,1.05,839,0.546,0.062
next open,fresh,2.0,3.0,20,1824,0.625,0.263,1.48,839,0.61,0.166
next open,fresh,2.0,4.0,5,1824,0.537,0.118,0.67,839,0.514,0.02
next open,fresh,2.0,4.0,10,1824,0.582,0.175,0.98,839,0.551,0.047
next open,fresh,2.0,4.0,20,1824,0.644,0.271,1.53,839,0.633,0.201
next open,fresh,3.0,1.0,5,1824,0.422,0.12,0.67,839,0.393,0.052
next open,fresh,3.0,1.0,10,1824,0.356,0.168,0.95,839,0.327,0.103
next open,fresh,3.0,1.0,20,1824,0.315,0.199,1.12,839,0.299,0.126
next open,fresh,3.0,1.5,5,1824,0.492,0.159,0.89,839,0.46,0.082
next open,fresh,3.0,1.5,10,1824,0.452,0.218,1.23,839,0.418,0.134
next open,fresh,3.0,1.5,20,1824,0.412,0.269,1.51,839,0.393,0.175
