account,post_date,ticker,their_call,event,conviction,our_state_date,dragon_C,diamond_strict,panels,hole,whales,blue_c,mountain,ours,agree,fwd10,url
dannycheng2022,2026-09-12,AMD,bullish,none,2.29,2026-09-11,False,False,6,1,66,2,4,bullish,True,,https://x.com/dannycheng2022/status/2098626970041176366
dannycheng2022,2026-09-11,AMD,bullish,none,2.25,2026-09-11,False,False,6,1,66,2,4,bullish,True,,https://x.com/dannycheng2022/status/2098427596551733739
dannycheng2022,2026-09-11,NVDA,bullish,none,2.25,2026-09-11,False,False,3,0,61,0,0,neutral,False,,https://x.com/dannycheng2022/status/2098427596551733739
dannycheng2022,2026-09-10,AMD,bullish,none,1.75,2026-09-10,True,False,5,1,65,2,4,bullish,True,,https://x.com/dannycheng2022/status/2097942355529924759
dannycheng2022,2026-09-10,NVDA,bullish,none,1.75,2026-09-10,False,False,4,1,67,0,0,neutral,False,,https://x.com/dannycheng2022/status/2097942355529924759
dannycheng2022,2026-09-09,PLTR,bullish,none,1.98,2026-09-09,False,False,3,0,85,1,1,neutral,False,,https://x.com/dannycheng2022/status/2097500080970617337
dannycheng2022,2026-09-04,HOOD,bullish,none,1.59,2026-09-04,True,False,6,1,93,1,4,bullish,True,,https://x.com/dannycheng2022/status/2095840800328302763
dannycheng2022,2026-09-04,PLTR,bullish,none,1.59,2026-09-04,False,False,3,0,89,1,4,neutral,False,,https://x.com/dannycheng2022/status/2095840800328302763
dannycheng2022,2026-09-04,SOFI,bullish,none,1.59,2026-09-04,False,False,2,0,56,0,3,neutral,False,,https://x.com/dannycheng2022/status/2095840800328302763
dannycheng2022,2026-09-03,AMD,bullish,none,1.18,2026-09-03,False,False,0,0,46,0,0,bearish,False,21.17,https://x.com/dannycheng2022/status/2095421730152161731
dannycheng2022,2026-09-03,PLTR,bullish,none,1.18,2026-09-03,False,False,4,0,90,1,4,neutral,False,-1.32,https://x.com/dannycheng2022/status/2095421730152161731
dannycheng2022,2026-09-02,TSLA,bullish,volatility_hole,0.85,2026-09-02,False,False,3,0,16,0,1,neutral,False,0.1,https://x.com/dannycheng2022/status/2095100672773689549
dannycheng2022,2026-08-31,NVDA,bullish,none,1.94,2026-08-31,False,False,5,0,70,0,2,bullish,True,-2.11,https://x.com/dannycheng2022/status/2094302828785438927
dannycheng2022,2026-08-31,PLTR,bullish,none,1.94,2026-08-31,True,False,6,1,98,2,4,bullish,True,-5.69,https://x.com/dannycheng2022/status/2094302828785438927
dannycheng2022,2026-08-30,HOOD,bullish,momentum_bar_level,2.93,2026-08-28,True,False,4,1,84,1,4,bullish,True,10.55,https://x.com/dannycheng2022/status/2094003338337472619
dannycheng2022,2026-08-30,PLTR,bullish,momentum_bar_level,2.93,2026-08-28,True,False,6,1,96,2,4,bullish,True,-6.06,https://x.com/dannycheng2022/status/2094003338337472619
dannycheng2022,2026-08-30,SE,bullish,momentum_bar_level,2.93,2026-08-28,False,False,4,0,85,1,3,neutral,False,-7.51,https://x.com/dannycheng2022/status/2094003338337472619
dannycheng2022,2026-08-28,HIMS,bullish,volatility_hole,1.99,2026-08-28,False,False,0,0,67,1,1,neutral,False,0.49,https://x.com/dannycheng2022/status/2093369157349957693
dannycheng2022,2026-08-28,PYPL,bullish,volatility_hole,1.99,2026-08-28,False,False,2,0,86,1,1,neutral,False,1.2,https://x.com/dannycheng2022/status/2093369157349957693
sunxliao,2025-07-21,IREN,bullish,none,0.84,2025-07-21,True,False,6,1,93,1,4,bullish,True,-13.15,https://x.com/sunxliao/status/1947365479678394534
