rank,confirm,min_move,mountain,entry,n_is,n_oos,oos_avg,oos_med,oos_win,oos_pf,oos_per_wk,oos_tick_pos,oos_total,oos_bars,is_avg,is_pf,thin
44.0,2,5.0,b,2of3,2960,1691,3.21,-2.02,0.358,1.77,11.94,0.62,5433.9,9.2,2.36,1.77,False
45.0,3,5.0,a,2of3,3551,2060,3.17,-2.55,0.342,1.7,14.55,0.63,6540.1,10.9,2.64,1.79,False
46.0,5,5.0,c,2of3,3759,2207,3.17,-2.36,0.345,1.7,15.59,0.63,6987.2,9.8,2.27,1.69,False
47.0,2,5.0,a,2of3,3288,1916,3.06,-2.55,0.339,1.67,13.53,0.63,5860.1,11.0,2.71,1.8,False
48.0,5,15.0,c,strict,323,207,3.05,-3.68,0.357,1.47,1.46,0.43,631.2,11.5,4.89,2.11,False
49.0,3,10.0,c,2of3,2887,1756,3.02,-2.28,0.343,1.66,12.4,0.64,5298.4,10.0,2.6,1.79,False
50.0,2,10.0,c,2of3,2631,1596,3.0,-2.25,0.345,1.65,11.27,0.61,4793.1,10.1,2.65,1.8,False
51.0,3,15.0,c,2of3,2605,1549,2.92,-2.05,0.351,1.67,10.94,0.61,4529.1,9.9,1.9,1.6,False
52.0,2,15.0,c,2of3,2364,1404,2.89,-2.05,0.351,1.66,9.92,0.6,4056.1,10.0,2.09,1.66,False
53.0,3,5.0,c,2of3,3485,2053,2.8,-2.33,0.351,1.61,14.5,0.6,5755.5,10.0,2.46,1.75,False
54.0,2,5.0,c,2of3,3231,1906,2.59,-2.36,0.348,1.56,13.46,0.64,4939.6,10.1,2.5,1.75,False
,-,-,-,RANDOM CONTROL,11811,6632,3.01,0.52,0.529,1.8,46.85,0.83,19989.7,10.0,1.58,1.41,
