rule,year,n,total,win,avg,med,avg_atr,pf,per_wk,tick_pos,bear_n,bear_avg
"Diamond strict, flip exit",2023,137,171.0,0.343,1.25,-2.79,0.23,1.25,2.63,0.39,11,4.68
"Diamond strict, flip exit",2024,137,1284.6,0.394,9.38,-1.7,1.15,2.77,2.63,0.47,0,
"Diamond strict, flip exit",2025,130,343.6,0.4,2.64,-3.01,0.42,1.51,2.5,0.5,8,6.04
"Diamond strict, flip exit",2026,71,317.2,0.352,4.47,-4.73,0.84,1.88,1.37,0.38,2,61.54
"Diamond strict, flip exit",2024+,338,1945.4,0.388,5.76,-2.87,0.8,2.11,2.39,0.46,10,17.14
"CONTROL: random days, ~25-bar hold",2017,818,2246.5,0.554,2.75,0.73,0.75,2.14,15.73,0.76,401,2.53
"CONTROL: random days, ~25-bar hold",2018,960,649.3,0.498,0.68,0.0,0.11,1.16,18.46,0.59,214,-0.54
"CONTROL: random days, ~25-bar hold",2019,1147,1737.9,0.558,1.52,0.88,0.44,1.43,22.06,0.64,129,9.16
"CONTROL: random days, ~25-bar hold",2020,1278,9782.7,0.62,7.65,2.52,1.07,3.13,24.58,0.86,314,9.99
"CONTROL: random days, ~25-bar hold",2021,1705,2152.3,0.481,1.26,-0.15,0.29,1.27,32.79,0.52,0,
"CONTROL: random days, ~25-bar hold",2022,1946,-3066.1,0.421,-1.58,-2.18,-0.25,0.79,37.42,0.36,1662,-0.32
"CONTROL: random days, ~25-bar hold",2023,1912,5257.4,0.547,2.75,0.74,0.55,1.58,36.77,0.71,201,12.87
"CONTROL: random days, ~25-bar hold",2024,2054,8339.2,0.52,4.06,0.39,0.67,1.92,39.5,0.72,0,
"CONTROL: random days, ~25-bar hold",2025,2089,5756.7,0.526,2.76,0.64,0.39,1.56,40.17,0.63,345,6.72
"CONTROL: random days, ~25-bar hold",2026,1486,650.9,0.471,0.44,-0.8,0.1,1.08,28.58,0.5,112,12.65
"CONTROL: random days, ~25-bar hold",2024+,5629,14746.9,0.509,2.62,0.21,0.42,1.55,39.76,0.76,457,8.17
