tier,f,N,sample,final,cagr,max_dd,taken,signalled,per_week,avg_open,skip_no_slot,skip_held,skip_no_headroom,skip_atr_zero,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
C,0.005,5,full,509357.6474175843,0.17687769227407024,0.3584186143302185,309,4018,0.5924404272801972,4.619729514717582,3314,392,3,0,0.07901390154342991,0.453564784299771,-0.11629980848183952,0.1988240839592772,0.6436832222756375,0.186051455504314,-0.2536614562078089,0.21432884827347332,0.6079211828838891,-0.014726160467032345,0.09517985130340967
C,0.005,5,oos,165495.96572698437,0.20425732048773315,0.2857831960290593,99,1605,0.7000000000000001,4.770925110132159,1381,125,0,0,,,,,,,,,0.5337162340063275,-0.014726160467458893,0.09517985130340989
C,0.005,10,full,1460121.6616871299,0.3076356219429397,0.5324584014660714,548,4018,1.0506710490276636,8.116547334924423,2127,723,620,0,0.06047145477701554,0.8025818391978892,-0.3419059879562938,0.49016859292538406,1.7123338561863393,0.09759495776281035,-0.40091651725273736,0.537841377331252,1.0791771744335628,0.0687163605776282,0.27800817551654644
C,0.005,10,oos,267451.21524322004,0.43756455047712417,0.43143291660123384,183,1605,1.293939393939394,9.140969162995594,1080,243,99,0,,,,,,,,,0.9204202875297915,0.08971933905216578,0.2780081754189059
C,0.005,20,full,2869356.8671463504,0.3990664722032504,0.6749913795557602,665,4018,1.2749931525609421,9.848448687350835,149,878,2326,0,0.06047145477701554,0.8025818391978892,-0.3460599239945752,0.6224094205553679,5.02789557689435,0.20182252086639507,-0.4648468922166401,0.8383288255718091,0.9392532187193243,-0.16826087826200753,0.23073122975004967
C,0.005,20,oos,267396.85154868866,0.4374567366087023,0.6091306403861456,249,1605,1.7606060606060607,12.154185022026432,94,350,912,0,,,,,,,,,1.7237554592420512,-0.1929849148635281,0.21648434070342026
C,0.01,5,full,1661224.3546022319,0.32462506849893313,0.5921995467189978,308,4018,0.5905231443440153,4.605409705648369,3303,389,18,0,0.08362635305139277,2.2689980512554997,-0.3035308921578138,0.27252450674681694,1.3377775357658241,0.28182408986668483,-0.4148515926205958,0.3125595374695316,1.0333813079256875,-0.05146713403497538,0.19200532835811357
C,0.01,5,oos,209880.19560286243,0.31458282950549,0.4461168465890799,99,1605,0.7000000000000001,4.770925110132159,1381,125,0,0,,,,,,,,,0.8562688637544325,-0.05146713402855607,0.19200532835811268
C,0.01,10,full,11782602.49047832,0.6114217411306118,0.7712547605837196,419,4018,0.8033415502602027,6.305091487669054,533,591,2475,0,0.067395876230264,2.400242577217225,-0.3276080204581645,0.7285169523290971,6.9837600865158445,0.19923138744726532,-0.5919093470965648,0.5645928866161958,3.6721423949776932,-0.2735842953806831,0.34629389922438336
C,0.01,10,oos,517241.4998122998,0.8336210944773901,0.6675673672583851,146,1605,1.0323232323232323,7.211453744493392,258,210,991,0,,,,,,,,,4.2889353606579705,-0.2735842945147745,0.346293899224384
C,0.01,20,full,15623937.173432108,0.6575597008161564,0.7315851825495979,428,4018,0.8205970966858395,6.533810660302307,0,604,2986,0,0.067395876230264,2.400242577217225,-0.3276080204581645,0.7285169523290971,7.889851232171553,0.5087839094228015,-0.5729024167829444,0.5997192744748119,3.0058696306120725,-0.20303744709992155,0.2659942671317692
C,0.01,20,oos,457829.319911783,0.7529098703343926,0.6704842871167753,150,1605,1.0606060606060608,7.518355359765051,0,220,1235,0,,,,,,,,,3.5376937869388874,-0.20303971910774032,0.2659942671317692
C,0.02,5,full,2513929.523196086,0.3806793926268348,0.6556397090748544,293,4018,0.5617639003012873,4.4821002386634845,3094,370,261,0,0.11479151016708289,2.2061615561820465,-0.33868155359876817,0.3871573629820544,1.9440083820122283,0.3905321122324821,-0.42470247486497714,0.3008437516047979,1.2390780334956406,0.05309427764369623,0.06136188393923914
C,0.02,5,oos,169516.1800027956,0.21496851982986764,0.5229050778162256,94,1605,0.6646464646464647,4.6255506607929515,1278,121,112,0,,,,,,,,,0.5166325716783915,0.053094370813410174,0.06136188393923914
C,0.02,10,full,1098362.995884039,0.2709174653826061,0.7069905972301322,331,4018,0.6346206518761983,4.891408114558472,0,426,3261,0,0.11479151016708289,0.786644038321394,-0.30102621373581884,0.32818770712037226,4.465040402618092,-0.1865605119829512,-0.4077924035669188,0.10919315558608589,1.2178006689139491,-0.17763431444422595,0.11533822614918554
C,0.02,10,oos,156544.8478823492,0.17980413275977525,0.5521161842165259,99,1605,0.7000000000000001,4.969162995594714,0,135,1371,0,,,,,,,,,0.3934683704130735,0.007244898516739928,0.11533822623505752
