tier,f,N,policy,sample,final,cagr,max_dd,taken,signalled,per_week,avg_open,skip_no_slot,skip_held,skip_no_headroom,skip_atr_zero,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
C,0.005,10,quality,full,1022535.9891941572,0.2618546792344256,0.42450489696707006,527,31629,1.0104081073678444,8.170644391408114,12860,686,17556,0,0.03496828367583782,0.3235155764769104,0.1443098838299579,0.20981001593276272,0.7921563346148461,0.37643031022552664,-0.2576703222691815,0.41461441690422385,0.8155989187439603,-0.10314565733151282,0.2783648654315525
C,0.005,10,quality,oos,171413.06255339473,0.21996682217274,0.3761993022942144,179,9284,1.2656565656565657,8.923641703377386,4749,211,4145,0,,,,,,,,,0.40331841384918365,-0.009629916841099817,0.23336090363151651
C,0.005,10,atr,full,643811.1811671302,0.20478368857731333,0.49532837183113676,584,31629,1.1196932347302109,8.675815433571996,16632,724,13689,0,0.04135754487377974,0.438033256690725,0.03566069308892095,0.13846351949441682,0.6573968694100591,0.023917182414718186,-0.22947069462292935,0.3804082481691464,0.30170943208581713,0.38821452412827195,0.11787802120855662
C,0.005,10,atr,oos,200610.00009182395,0.29285487366522855,0.3283433314350519,186,9284,1.3151515151515152,9.355359765051395,6977,214,1907,0,,,,,,,,,0.44306126052639727,0.26786281044430105,0.0964669534619138
C,0.005,10,random,full,1160647.7941445746,0.27794978092469225,0.4539756276992205,509,31629,0.9758970145165708,8.010739856801909,11449,602,19069,0,0.04114415476515809,0.3917433432740123,-0.22779748616753492,0.04748016329183247,0.6763025545339951,0.9395878877798383,-0.33113639835526043,0.8801364367426359,0.30545438261084845,0.37537891779181787,0.34890247344898473
C,0.005,10,random,oos,261063.38541555486,0.4248003198793737,0.4853920108008888,164,9284,1.1595959595959597,8.518355359765051,3661,226,5233,0,,,,,,,,,1.223036148533958,-0.007748409175597604,0.1835255472454056
C,0.01,10,quality,full,1441956.5916710657,0.30599896810499705,0.5757591653739678,394,31629,0.755409476855656,6.1793953858393,1748,537,28950,0,0.08423040046794439,0.19007901267243965,-0.09123142658521088,0.2619222125109171,1.3558729096736473,0.40970439098479416,-0.4416417206035581,0.4222520614724039,1.5594860589981843,0.23900699649917212,0.1651261644528188
C,0.01,10,quality,oos,270047.6139623932,0.44269769916293655,0.5571052236810751,128,9284,0.9050505050505051,6.55359765051395,558,170,8428,0,,,,,,,,,0.9672632336193858,0.17816173639269883,0.16512616448051176
C,0.01,10,atr,full,4224502.003565714,0.45426766015879094,0.6001658238085974,431,31629,0.8263489454943851,6.443118536197296,4126,576,26496,0,0.08203261385386607,1.5089445330278308,-0.0778219079309399,0.19294320974393098,2.2288019434852777,-0.19531679648448885,-0.35778277384825097,0.6133266621287623,1.3815801213978958,0.21700762526486428,0.8129275103969664
C,0.01,10,atr,oos,484682.33852345496,0.7901612905781354,0.5781805609695416,133,9284,0.9404040404040405,7.236417033773862,1551,192,7408,0,,,,,,,,,2.444164917904801,0.4137002934074234,-0.004558121270926585
C,0.01,10,random,full,751930.2154466158,0.22364024164080942,0.5382258258550505,400,31629,0.7669131744727472,5.937549721559268,1414,523,29292,0,0.08423040046794439,0.39930533809053825,-0.16822079290865521,0.13183053977395343,3.1087488176375766,0.37510821297561714,-0.2948882134775366,0.1357009603606636,0.9589050700525648,-0.21329321317882122,-0.24497857534640466
C,0.01,10,random,oos,158201.77312893703,0.18439594966821238,0.5603882881132151,126,9284,0.890909090909091,6.279001468428781,247,159,8752,0,,,,,,,,,0.7442268865484434,-0.2801171412762451,0.25993034959036687
C,0.005,20,quality,full,6809122.09200647,0.525402395324561,0.5617337534619712,591,31629,1.133114215283484,9.369132856006365,813,875,29350,0,0.03496828367583782,0.3235155764769104,0.1443098838299579,0.305687009062493,2.652186809371384,0.5727034251673595,-0.41310335588516356,0.9148004333824349,2.796987310749248,0.16611811980717905,0.16408754375408385
C,0.005,20,quality,oos,215738.12272708397,0.32800217521051644,0.4855302761115675,213,9284,1.506060606060606,10.891336270190896,93,281,8697,0,,,,,,,,,1.0345297696091844,-0.06590687659241912,0.13520075560957667
C,0.005,20,atr,full,6595262.819362878,0.5205403633730656,0.56760137700821,695,31629,1.3325116406463984,10.619729514717582,1935,973,28026,0,0.04135754487377974,0.42338761507699685,-0.1956705704309627,0.07269650160739816,2.2890763446719156,0.7974114695740142,-0.24360261095125968,0.5646425398385291,2.493018170675942,0.35309223923126143,0.5594927739178546
C,0.005,20,atr,oos,594487.4156906655,0.9302418433598942,0.4907085943647085,232,9284,1.6404040404040405,12.584434654919237,437,352,8263,0,,,,,,,,,2.7769903096912296,0.36817313028054,0.1504181851076365
C,0.005,20,random,full,1456307.8663433124,0.30729352872780136,0.53504607846724,608,31629,1.1657080251985759,9.003182179793159,108,739,30174,0,0.04114415476515809,0.3917433432740123,-0.22779748616753492,0.04748016329183247,1.980630103171292,0.3166586332568999,-0.25146856665143014,0.456651790738809,1.1273541704159107,0.22047110212152043,0.11838618864285633
C,0.005,20,random,oos,428022.78823884117,0.7099090556938878,0.5374333131278879,197,9284,1.3929292929292931,10.085168869309838,0,264,8823,0,,,,,,,,,1.245210915705238,0.08693311178279561,0.7539084792944044
G,0.005,10,quality,full,2484476.592165394,0.3790525436129599,0.40804541954844054,581,26594,1.1139413859216654,6.218377088305489,11074,512,14427,0,0.0,0.6557846862224603,0.006826538948108807,0.2382130473694104,0.9259262091625085,0.45109822688643275,-0.09877220954677746,0.26615320659270725,0.94582494141244,0.34787848797195764,0.4390279193039819
